time,beamID,lineOfSightWindSpeed1,isValid1
0.0,1.0,13.522169781129929,1.0
0.02,2.0,11.1543393422159,1.0
0.04,3.0,11.918473614184883,1.0
0.06,4.0,14.72228794716358,1.0
0.08,5.0,14.63966795097973,1.0
0.1,6.0,16.278513157983486,1.0
0.12,7.0,15.210793663295046,1.0
0.14,8.0,15.526504132526313,1.0
0.16,9.0,16.390353222438392,1.0
0.18,10.0,17.424599755553654,1.0
0.2,11.0,18.68444484830137,1.0
0.22,12.0,17.807876750958943,1.0
0.24,13.0,18.190178023491892,1.0
0.26,14.0,0.0,0.0
0.28,15.0,0.0,0.0
0.3,16.0,0.0,0.0
0.32,17.0,0.0,0.0
0.34,18.0,0.0,0.0
0.36,19.0,0.0,0.0
0.38,20.0,0.0,0.0
0.4,21.0,0.0,0.0
0.42,22.0,0.0,0.0
0.44,23.0,0.0,0.0
0.46,24.0,0.0,0.0
0.48,25.0,0.0,0.0
0.5,26.0,0.0,0.0
0.52,27.0,0.0,0.0
0.54,28.0,0.0,0.0
0.56,29.0,0.0,0.0
0.58,30.0,0.0,0.0
0.6,31.0,0.0,0.0
0.62,32.0,0.0,0.0
0.64,33.0,20.623696821749597,1.0
0.66,34.0,20.19811171399696,1.0
0.68,35.0,19.11558874390721,1.0
0.7000000000000001,36.0,19.641669696593816,1.0
0.72,37.0,18.43196055197696,1.0
0.74,38.0,17.307089648352086,1.0
0.76,39.0,16.860902390246743,1.0
0.78,40.0,18.11886861451173,1.0
0.8,41.0,18.13511257276031,1.0
0.8200000000000001,42.0,20.067856534316576,1.0
0.84,43.0,18.41784511661165,1.0
0.86,44.0,17.467312081028233,1.0
0.88,45.0,15.314704770353085,1.0
0.9,46.0,14.712098262315433,1.0
0.92,47.0,14.179648239405072,1.0
0.9400000000000001,48.0,14.061814328636988,1.0
0.96,49.0,13.865207756861416,1.0
0.98,50.0,14.397988879274369,1.0
1.0,1.0,13.182111036240773,1.0
1.02,2.0,11.856846185838084,1.0
1.04,3.0,12.07382288124743,1.0
1.06,4.0,14.510615453363412,1.0
1.08,5.0,16.01677652062788,1.0
1.1,6.0,17.117727741852033,1.0
1.12,7.0,16.335719009727676,1.0
1.1400000000000001,8.0,15.709371114330759,1.0
1.16,9.0,16.03529088650534,1.0
1.18,10.0,16.91564291449755,1.0
1.2,11.0,17.310093540778066,1.0
1.22,12.0,17.491665934847862,1.0
1.24,13.0,18.488579747410153,1.0
1.26,14.0,18.793214495246676,1.0
1.28,15.0,19.342655275584793,1.0
1.3,16.0,19.940093895074266,1.0
1.32,17.0,18.83086160651437,1.0
1.34,18.0,18.53411262413636,1.0
1.36,19.0,19.134368029128826,1.0
1.3800000000000001,20.0,19.646202560284124,1.0
1.4000000000000001,21.0,20.17965967934366,1.0
1.42,22.0,20.67742396246616,1.0
1.44,23.0,21.285158299551973,1.0
1.46,24.0,20.982755773487764,1.0
1.48,25.0,20.37288025872589,1.0
1.5,26.0,20.539768129803246,1.0
1.52,27.0,21.006454411650562,1.0
1.54,28.0,21.409818049912325,1.0
1.56,29.0,21.46670883018374,1.0
1.58,30.0,20.93679153162009,1.0
1.6,31.0,20.165112779745982,1.0
1.62,32.0,19.65772595536628,1.0
1.6400000000000001,33.0,19.941954855156904,1.0
1.6600000000000001,34.0,19.32981460936378,1.0
1.68,35.0,19.087052568989613,1.0
1.7,36.0,20.09297293731549,1.0
1.72,37.0,18.187729544293173,1.0
1.74,38.0,16.99113503208658,1.0
1.76,39.0,16.777692960932804,1.0
1.78,40.0,17.349252533696777,1.0
1.8,41.0,18.04667471689485,1.0
1.82,42.0,19.153926385717213,1.0
1.84,43.0,18.288211735052254,1.0
1.86,44.0,18.068375470929322,1.0
1.8800000000000001,45.0,16.798953277716354,1.0
1.9000000000000001,46.0,15.4019411669939,1.0
1.92,47.0,0.0,0.0
1.94,48.0,0.0,0.0
1.96,49.0,0.0,0.0
1.98,50.0,0.0,0.0
2.0,1.0,0.0,0.0
2.02,2.0,0.0,0.0
2.04,3.0,0.0,0.0
2.06,4.0,0.0,0.0
2.08,5.0,0.0,0.0
2.1,6.0,0.0,0.0
2.12,7.0,0.0,0.0
2.14,8.0,0.0,0.0
2.16,9.0,0.0,0.0
2.18,10.0,0.0,0.0
2.2,11.0,0.0,0.0
2.22,12.0,0.0,0.0
2.24,13.0,0.0,0.0
2.2600000000000002,14.0,0.0,0.0
2.2800000000000002,15.0,0.0,0.0
2.3000000000000003,16.0,0.0,0.0
2.32,17.0,19.652161108463282,1.0
2.34,18.0,18.87805155942061,1.0
2.36,19.0,18.95589174805254,1.0
2.38,20.0,19.888549352237874,1.0
2.4,21.0,20.576825763563566,1.0
2.42,22.0,20.482345444563823,1.0
2.44,23.0,19.675220152790647,1.0
2.46,24.0,20.283536355672997,1.0
2.48,25.0,20.360532995835747,1.0
2.5,26.0,20.467263745390174,1.0
2.52,27.0,20.606684760613184,1.0
2.54,28.0,21.339149024776233,1.0
2.56,29.0,21.181122305266538,1.0
2.58,30.0,21.012009456323046,1.0
2.6,31.0,20.148851529038197,1.0
2.62,32.0,0.0,0.0
2.64,33.0,0.0,0.0
2.66,34.0,0.0,0.0
2.68,35.0,0.0,0.0
2.7,36.0,0.0,0.0
2.72,37.0,0.0,0.0
2.74,38.0,0.0,0.0
2.7600000000000002,39.0,16.026933776803507,1.0
2.7800000000000002,40.0,16.901207501480307,1.0
2.8000000000000003,41.0,17.41512049765311,1.0
2.82,42.0,19.74688635865451,1.0
2.84,43.0,18.329883473824797,1.0
2.86,44.0,17.442466603981195,1.0
2.88,45.0,16.603029470161914,1.0
2.9,46.0,16.49084616150932,1.0
2.92,47.0,15.719134234095678,1.0
2.94,48.0,15.510322480603113,1.0
2.96,49.0,16.07664983809995,1.0
2.98,50.0,15.197510198961362,1.0
3.0,1.0,14.83169949806278,1.0
3.02,2.0,14.423938135021531,1.0
3.04,3.0,14.352988134766917,1.0
3.06,4.0,15.54629868320132,1.0
3.08,5.0,14.90202735284837,1.0
3.1,6.0,17.668254285153814,1.0
3.12,7.0,16.520403520475153,1.0
3.14,8.0,15.00155601571892,1.0
3.16,9.0,15.41788409258532,1.0
3.18,10.0,16.27258760870379,1.0
3.2,11.0,17.46383226480223,1.0
3.22,12.0,16.975350366084513,1.0
3.24,13.0,16.96549690806408,1.0
3.2600000000000002,14.0,0.0,0.0
3.2800000000000002,15.0,0.0,0.0
3.3000000000000003,16.0,0.0,0.0
3.3200000000000003,17.0,0.0,0.0
3.34,18.0,0.0,0.0
3.36,19.0,0.0,0.0
3.38,20.0,0.0,0.0
3.4,21.0,0.0,0.0
3.42,22.0,0.0,0.0
3.44,23.0,0.0,0.0
3.46,24.0,0.0,0.0
3.48,25.0,0.0,0.0
3.5,26.0,0.0,0.0
3.52,27.0,0.0,0.0
3.54,28.0,20.922924810442947,1.0
3.56,29.0,20.97982472707442,1.0
3.58,30.0,20.671659737248447,1.0
3.6,31.0,20.6227289682937,1.0
3.62,32.0,19.8392459945619,1.0
3.64,33.0,19.819926720691686,1.0
3.66,34.0,18.918415994820467,1.0
3.68,35.0,20.116915091121086,1.0
3.7,36.0,19.470221199349037,1.0
3.72,37.0,17.79094413314828,1.0
3.74,38.0,17.25006947875765,1.0
3.7600000000000002,39.0,17.046752122605007,1.0
3.7800000000000002,40.0,16.976330208094595,1.0
3.8000000000000003,41.0,18.118671125838258,1.0
3.8200000000000003,42.0,18.70958445626232,1.0
3.84,43.0,17.806059839331926,1.0
3.86,44.0,16.60612240743661,1.0
3.88,45.0,15.758718292987734,1.0
3.9,46.0,15.755076301795626,1.0
3.92,47.0,15.096670918700777,1.0
3.94,48.0,15.210720870626771,1.0
3.96,49.0,15.190000828988591,1.0
3.98,50.0,16.909179651736192,1.0
4.0,1.0,15.77965266262865,1.0
4.0200000000000005,2.0,15.25460938002395,1.0
4.04,3.0,14.310042989785503,1.0
4.0600000000000005,4.0,15.593432882905649,1.0
4.08,5.0,16.025137647074242,1.0
4.1,6.0,17.888716690677228,1.0
4.12,7.0,15.827026690524681,1.0
4.14,8.0,14.396043904493906,1.0
4.16,9.0,14.379787549149661,1.0
4.18,10.0,15.710195482362156,1.0
4.2,11.0,17.047042624921907,1.0
4.22,12.0,17.595157714518898,1.0
4.24,13.0,17.90094056695981,1.0
4.26,14.0,17.964782037672443,1.0
4.28,15.0,19.62548370159158,1.0
4.3,16.0,20.773091433017907,1.0
4.32,17.0,19.551961882968108,1.0
4.34,18.0,19.55581452680991,1.0
4.36,19.0,19.768495875514365,1.0
4.38,20.0,19.943385568062393,1.0
4.4,21.0,19.439351923650342,1.0
4.42,22.0,20.48928056755381,1.0
4.44,23.0,19.830360353800902,1.0
4.46,24.0,19.55747553843,1.0
4.48,25.0,19.394042441662087,1.0
4.5,26.0,20.41887948089324,1.0
4.5200000000000005,27.0,20.090533022355594,1.0
4.54,28.0,19.868971651656302,1.0
4.5600000000000005,29.0,20.013068332480866,1.0
4.58,30.0,21.409295981230812,1.0
4.6000000000000005,31.0,20.17908825113384,1.0
4.62,32.0,19.81125775201286,1.0
4.64,33.0,20.034958502104633,1.0
4.66,34.0,19.340216202124346,1.0
4.68,35.0,19.162439703856382,1.0
4.7,36.0,19.7677836312825,1.0
4.72,37.0,17.34681072919595,1.0
4.74,38.0,15.717285884018086,1.0
4.76,39.0,15.159106387852997,1.0
4.78,40.0,16.233198042746235,1.0
4.8,41.0,17.040295202358823,1.0
4.82,42.0,0.0,0.0
4.84,43.0,0.0,0.0
4.86,44.0,0.0,0.0
4.88,45.0,0.0,0.0
4.9,46.0,0.0,0.0
4.92,47.0,0.0,0.0
4.94,48.0,0.0,0.0
4.96,49.0,0.0,0.0
4.98,50.0,0.0,0.0
5.0,1.0,0.0,0.0
5.0200000000000005,2.0,0.0,0.0
5.04,3.0,0.0,0.0
5.0600000000000005,4.0,0.0,0.0
5.08,5.0,0.0,0.0
5.1000000000000005,6.0,0.0,0.0
5.12,7.0,0.0,0.0
5.14,8.0,0.0,0.0
5.16,9.0,0.0,0.0
5.18,10.0,0.0,0.0
5.2,11.0,0.0,0.0
5.22,12.0,0.0,0.0
5.24,13.0,0.0,0.0
5.26,14.0,0.0,0.0
5.28,15.0,0.0,0.0
5.3,16.0,0.0,0.0
5.32,17.0,0.0,0.0
5.34,18.0,0.0,0.0
5.36,19.0,0.0,0.0
5.38,20.0,0.0,0.0
5.4,21.0,0.0,0.0
5.42,22.0,0.0,0.0
5.44,23.0,0.0,0.0
5.46,24.0,0.0,0.0
5.48,25.0,0.0,0.0
5.5,26.0,0.0,0.0
5.5200000000000005,27.0,0.0,0.0
5.54,28.0,0.0,0.0
5.5600000000000005,29.0,0.0,0.0
5.58,30.0,0.0,0.0
5.6000000000000005,31.0,0.0,0.0
5.62,32.0,0.0,0.0
5.64,33.0,0.0,0.0
5.66,34.0,0.0,0.0
5.68,35.0,0.0,0.0
5.7,36.0,0.0,0.0
5.72,37.0,17.916736235803704,1.0
5.74,38.0,16.639038992727123,1.0
5.76,39.0,16.11741449113206,1.0
5.78,40.0,17.21884278285353,1.0
5.8,41.0,16.67909818043262,1.0
5.82,42.0,17.256291553710437,1.0
5.84,43.0,17.868129556338488,1.0
5.86,44.0,17.568047466078713,1.0
5.88,45.0,16.475485946209396,1.0
5.9,46.0,16.755905477528493,1.0
5.92,47.0,14.629106973664326,1.0
5.94,48.0,14.976832000463876,1.0
5.96,49.0,15.755384985632976,1.0
5.98,50.0,17.195360259387222,1.0
6.0,1.0,16.388727648979877,1.0
6.0200000000000005,2.0,14.845260974920182,1.0
6.04,3.0,14.97466687457172,1.0
6.0600000000000005,4.0,16.65087645677817,1.0
6.08,5.0,17.49255199489638,1.0
6.1000000000000005,6.0,18.147624587453713,1.0
6.12,7.0,16.93006123413256,1.0
6.140000000000001,8.0,14.274308154930653,1.0
6.16,9.0,15.373392533860574,1.0
6.18,10.0,17.01424862396736,1.0
6.2,11.0,17.168551171864923,1.0
6.22,12.0,17.241027007392674,1.0
6.24,13.0,17.789251030130092,1.0
6.26,14.0,17.665338674637507,1.0
6.28,15.0,17.523116603256987,1.0
6.3,16.0,0.0,0.0
6.32,17.0,0.0,0.0
6.34,18.0,0.0,0.0
6.36,19.0,0.0,0.0
6.38,20.0,0.0,0.0
6.4,21.0,18.855898760594542,1.0
6.42,22.0,19.787546796729007,1.0
6.44,23.0,19.60571895886907,1.0
6.46,24.0,18.98988692108438,1.0
6.48,25.0,17.71666132875256,1.0
6.5,26.0,18.490804685992966,1.0
6.5200000000000005,27.0,18.345733945093606,1.0
6.54,28.0,18.13009705197831,1.0
6.5600000000000005,29.0,18.262615906334766,1.0
6.58,30.0,19.639783485226978,1.0
6.6000000000000005,31.0,18.880735868889015,1.0
6.62,32.0,19.142273284172266,1.0
6.640000000000001,33.0,18.232735412313115,1.0
6.66,34.0,18.116058200843923,1.0
6.68,35.0,18.252580091106267,1.0
6.7,36.0,17.109813641061823,1.0
6.72,37.0,17.078163721243367,1.0
6.74,38.0,16.74027973087001,1.0
6.76,39.0,16.445080729654823,1.0
6.78,40.0,16.727566294411915,1.0
6.8,41.0,17.452284626551954,1.0
6.82,42.0,17.725930330452194,1.0
6.84,43.0,16.666350001464206,1.0
