time,beamID,lineOfSightWindSpeed1,isValid1
0.0,1.0,17.022754647164806,1.0
0.02,2.0,17.375675462380787,1.0
0.04,3.0,14.368705449580812,1.0
0.06,4.0,15.586096426013809,1.0
0.08,5.0,15.136704381295571,1.0
0.1,6.0,15.29896612028718,1.0
0.12,7.0,14.706167101777446,1.0
0.14,8.0,15.528847452915521,1.0
0.16,9.0,16.07586288448805,1.0
0.18,10.0,16.40534988167442,1.0
0.2,11.0,16.63970182282008,1.0
0.22,12.0,15.820299001771518,1.0
0.24,13.0,16.188127626620627,1.0
0.26,14.0,0.0,0.0
0.28,15.0,0.0,0.0
0.3,16.0,0.0,0.0
0.32,17.0,0.0,0.0
0.34,18.0,0.0,0.0
0.36,19.0,0.0,0.0
0.38,20.0,0.0,0.0
0.4,21.0,0.0,0.0
0.42,22.0,0.0,0.0
0.44,23.0,0.0,0.0
0.46,24.0,0.0,0.0
0.48,25.0,0.0,0.0
0.5,26.0,0.0,0.0
0.52,27.0,0.0,0.0
0.54,28.0,0.0,0.0
0.56,29.0,0.0,0.0
0.58,30.0,0.0,0.0
0.6,31.0,0.0,0.0
0.62,32.0,0.0,0.0
0.64,33.0,19.16185778486889,1.0
0.66,34.0,19.084471093121582,1.0
0.68,35.0,18.568350725756886,1.0
0.7000000000000001,36.0,18.205204133802475,1.0
0.72,37.0,18.937750601883224,1.0
0.74,38.0,20.53828012301276,1.0
0.76,39.0,20.624954925672682,1.0
0.78,40.0,20.56961304414584,1.0
0.8,41.0,21.629636637801056,1.0
0.8200000000000001,42.0,21.14642835258883,1.0
0.84,43.0,21.143648866052818,1.0
0.86,44.0,21.71540646407528,1.0
0.88,45.0,21.428578576564842,1.0
0.9,46.0,20.379887891952038,1.0
0.92,47.0,19.514948552103643,1.0
0.9400000000000001,48.0,18.509166651961305,1.0
0.96,49.0,18.201259621870555,1.0
0.98,50.0,18.356482592162926,1.0
1.0,1.0,17.633256178706315,1.0
1.02,2.0,16.92773548490615,1.0
1.04,3.0,15.753363177774958,1.0
1.06,4.0,16.07076916035833,1.0
1.08,5.0,15.782872004886633,1.0
1.1,6.0,14.993173832779206,1.0
1.12,7.0,14.784501233268134,1.0
1.1400000000000001,8.0,16.268601366900207,1.0
1.16,9.0,15.85229515918921,1.0
1.18,10.0,16.239096842246802,1.0
1.2,11.0,15.912329238256298,1.0
1.22,12.0,16.647008199361473,1.0
1.24,13.0,16.917136508679654,1.0
1.26,14.0,17.10527481196132,1.0
1.28,15.0,16.902804818776165,1.0
1.3,16.0,16.01776665855149,1.0
1.32,17.0,16.503526470469417,1.0
1.34,18.0,16.35594882439728,1.0
1.36,19.0,16.159772620999654,1.0
1.3800000000000001,20.0,17.25632751858795,1.0
1.4000000000000001,21.0,16.056114905191773,1.0
1.42,22.0,18.80696391790792,1.0
1.44,23.0,19.08201808985035,1.0
1.46,24.0,18.67960497093235,1.0
1.48,25.0,17.949976162640603,1.0
1.5,26.0,16.869649622939022,1.0
1.52,27.0,17.327814292039204,1.0
1.54,28.0,18.276893488616096,1.0
1.56,29.0,16.89898134423313,1.0
1.58,30.0,17.965464551137,1.0
1.6,31.0,19.151749094116482,1.0
1.62,32.0,19.45256938183761,1.0
1.6400000000000001,33.0,19.599499665801957,1.0
1.6600000000000001,34.0,19.38638575996589,1.0
1.68,35.0,18.76588831630813,1.0
1.7,36.0,19.15337689456049,1.0
1.72,37.0,19.491741762742254,1.0
1.74,38.0,20.350992860649818,1.0
1.76,39.0,20.400835664616743,1.0
1.78,40.0,20.89695198306158,1.0
1.8,41.0,21.182453810376064,1.0
1.82,42.0,21.114089867854624,1.0
1.84,43.0,22.085720392438777,1.0
1.86,44.0,21.779748084001987,1.0
1.8800000000000001,45.0,20.53002382800299,1.0
1.9000000000000001,46.0,19.955897828247622,1.0
1.92,47.0,0.0,0.0
1.94,48.0,0.0,0.0
1.96,49.0,0.0,0.0
1.98,50.0,0.0,0.0
2.0,1.0,0.0,0.0
2.02,2.0,0.0,0.0
2.04,3.0,0.0,0.0
2.06,4.0,0.0,0.0
2.08,5.0,0.0,0.0
2.1,6.0,0.0,0.0
2.12,7.0,0.0,0.0
2.14,8.0,0.0,0.0
2.16,9.0,0.0,0.0
2.18,10.0,0.0,0.0
2.2,11.0,0.0,0.0
2.22,12.0,0.0,0.0
2.24,13.0,0.0,0.0
2.2600000000000002,14.0,0.0,0.0
2.2800000000000002,15.0,0.0,0.0
2.3000000000000003,16.0,0.0,0.0
2.32,17.0,17.7123219375442,1.0
2.34,18.0,16.963073582923617,1.0
2.36,19.0,16.35857734604683,1.0
2.38,20.0,16.863784478072322,1.0
2.4,21.0,17.124567450333547,1.0
2.42,22.0,18.544986461158008,1.0
2.44,23.0,19.455590183564222,1.0
2.46,24.0,18.701221901768495,1.0
2.48,25.0,17.363178640023374,1.0
2.5,26.0,17.412591961133863,1.0
