time,beamID,lineOfSightWindSpeed1,isValid1
0.0,1.0,15.263649817182186,1.0
0.02,2.0,13.503987854474035,1.0
0.04,3.0,14.017593675879992,1.0
0.06,4.0,13.374592905810898,1.0
0.08,5.0,14.08507055664112,1.0
0.1,6.0,14.704432259688874,1.0
0.12,7.0,14.072864609442167,1.0
0.14,8.0,13.758626635224822,1.0
0.16,9.0,14.30623226319529,1.0
0.18,10.0,14.308706673182947,1.0
0.2,11.0,14.214427582992958,1.0
0.22,12.0,13.75507060775612,1.0
0.24,13.0,14.019476490499615,1.0
0.26,14.0,0.0,0.0
0.28,15.0,0.0,0.0
0.3,16.0,0.0,0.0
0.32,17.0,0.0,0.0
0.34,18.0,0.0,0.0
0.36,19.0,0.0,0.0
0.38,20.0,0.0,0.0
0.4,21.0,0.0,0.0
0.42,22.0,0.0,0.0
0.44,23.0,0.0,0.0
0.46,24.0,0.0,0.0
0.48,25.0,0.0,0.0
0.5,26.0,0.0,0.0
0.52,27.0,0.0,0.0
0.54,28.0,0.0,0.0
0.56,29.0,0.0,0.0
0.58,30.0,0.0,0.0
0.6,31.0,0.0,0.0
0.62,32.0,0.0,0.0
0.64,33.0,17.16884753638008,1.0
0.66,34.0,16.881301916508345,1.0
0.68,35.0,18.022498937129576,1.0
0.7000000000000001,36.0,17.55759660396249,1.0
0.72,37.0,17.43654155639722,1.0
0.74,38.0,18.308690524283488,1.0
0.76,39.0,18.356849438898454,1.0
0.78,40.0,17.42690125991492,1.0
0.8,41.0,19.705810411205295,1.0
0.8200000000000001,42.0,18.937257747613057,1.0
0.84,43.0,19.49585419487385,1.0
0.86,44.0,19.014160160326625,1.0
0.88,45.0,17.80877807665796,1.0
0.9,46.0,17.43427947258898,1.0
0.92,47.0,16.668574494645178,1.0
0.9400000000000001,48.0,16.24185090500283,1.0
0.96,49.0,15.639796925499237,1.0
0.98,50.0,15.59094644770833,1.0
1.0,1.0,15.129225419554643,1.0
1.02,2.0,13.728053465294332,1.0
1.04,3.0,14.841325834711961,1.0
1.06,4.0,13.441887186695087,1.0
1.08,5.0,13.565743735030178,1.0
1.1,6.0,14.10177675704149,1.0
1.12,7.0,13.556802774242248,1.0
