Statistics1_Row,mean_Wind1VelX,Statistics2_Row,mean_GenPwr,Statistics3_Row,DEL_TwrBsMyt
SimulationResults_FeedbackOnly\URef_12_Seed_05.outb,12.000029237194,SimulationResults_FeedbackOnly\URef_12_Seed_05.outb,14834.8354715737,SimulationResults_FeedbackOnly\URef_12_Seed_05.outb,324728.466316804
SimulationResults_FeedbackOnly\URef_12_Seed_06.outb,12.0000790516839,SimulationResults_FeedbackOnly\URef_12_Seed_06.outb,14695.8167607897,SimulationResults_FeedbackOnly\URef_12_Seed_06.outb,357339.659372702
SimulationResults_FeedbackOnly\URef_14_Seed_01.outb,14.0000533124737,SimulationResults_FeedbackOnly\URef_14_Seed_01.outb,14970.6873353007,SimulationResults_FeedbackOnly\URef_14_Seed_01.outb,348275.430661707
SimulationResults_FeedbackOnly\URef_14_Seed_02.outb,13.9999638704759,SimulationResults_FeedbackOnly\URef_14_Seed_02.outb,14983.5690757467,SimulationResults_FeedbackOnly\URef_14_Seed_02.outb,425152.748539151
SimulationResults_FeedbackOnly\URef_14_Seed_03.outb,13.999998525365,SimulationResults_FeedbackOnly\URef_14_Seed_03.outb,14979.3666571726,SimulationResults_FeedbackOnly\URef_14_Seed_03.outb,308751.293042413
SimulationResults_FeedbackOnly\URef_14_Seed_04.outb,14.0000487190209,SimulationResults_FeedbackOnly\URef_14_Seed_04.outb,14964.6865663632,SimulationResults_FeedbackOnly\URef_14_Seed_04.outb,393926.003295779
SimulationResults_FeedbackOnly\URef_14_Seed_05.outb,14.0000639782431,SimulationResults_FeedbackOnly\URef_14_Seed_05.outb,14991.6066256131,SimulationResults_FeedbackOnly\URef_14_Seed_05.outb,278870.13039637
SimulationResults_FeedbackOnly\URef_14_Seed_06.outb,13.9999285438097,SimulationResults_FeedbackOnly\URef_14_Seed_06.outb,14959.1701839546,SimulationResults_FeedbackOnly\URef_14_Seed_06.outb,496790.141921137
SimulationResults_FeedbackOnly\URef_16_Seed_01.outb,15.9998907803647,SimulationResults_FeedbackOnly\URef_16_Seed_01.outb,14988.5320100549,SimulationResults_FeedbackOnly\URef_16_Seed_01.outb,327469.205903822
SimulationResults_FeedbackOnly\URef_16_Seed_02.outb,16.0000519325132,SimulationResults_FeedbackOnly\URef_16_Seed_02.outb,14982.4743154497,SimulationResults_FeedbackOnly\URef_16_Seed_02.outb,297128.730996025
SimulationResults_FeedbackOnly\URef_16_Seed_03.outb,16.000006831397,SimulationResults_FeedbackOnly\URef_16_Seed_03.outb,14987.005143213,SimulationResults_FeedbackOnly\URef_16_Seed_03.outb,313113.317105141
SimulationResults_FeedbackOnly\URef_16_Seed_04.outb,15.9999636995453,SimulationResults_FeedbackOnly\URef_16_Seed_04.outb,14982.3742704237,SimulationResults_FeedbackOnly\URef_16_Seed_04.outb,325420.504876311
SimulationResults_FeedbackOnly\URef_16_Seed_05.outb,16.0000304455361,SimulationResults_FeedbackOnly\URef_16_Seed_05.outb,14984.2426074699,SimulationResults_FeedbackOnly\URef_16_Seed_05.outb,302377.145671094
SimulationResults_FeedbackOnly\URef_16_Seed_06.outb,16.0000242073956,SimulationResults_FeedbackOnly\URef_16_Seed_06.outb,14988.3364002507,SimulationResults_FeedbackOnly\URef_16_Seed_06.outb,290938.845324741
SimulationResults_FeedbackOnly\URef_18_Seed_01.outb,18.0000685416807,SimulationResults_FeedbackOnly\URef_18_Seed_01.outb,14975.8214008227,SimulationResults_FeedbackOnly\URef_18_Seed_01.outb,331578.638907737
SimulationResults_FeedbackOnly\URef_18_Seed_02.outb,17.9998984360493,SimulationResults_FeedbackOnly\URef_18_Seed_02.outb,14973.0947783439,SimulationResults_FeedbackOnly\URef_18_Seed_02.outb,296867.091253558
SimulationResults_FeedbackOnly\URef_18_Seed_03.outb,17.9999583047271,SimulationResults_FeedbackOnly\URef_18_Seed_03.outb,14969.7320535152,SimulationResults_FeedbackOnly\URef_18_Seed_03.outb,324873.412946728
SimulationResults_FeedbackOnly\URef_18_Seed_04.outb,18.0000077300523,SimulationResults_FeedbackOnly\URef_18_Seed_04.outb,14975.1492385901,SimulationResults_FeedbackOnly\URef_18_Seed_04.outb,329868.360278456
SimulationResults_FeedbackOnly\URef_18_Seed_05.outb,18.000121805345,SimulationResults_FeedbackOnly\URef_18_Seed_05.outb,14976.1403906447,SimulationResults_FeedbackOnly\URef_18_Seed_05.outb,311147.331826621
SimulationResults_FeedbackOnly\URef_18_Seed_06.outb,18.0000021303277,SimulationResults_FeedbackOnly\URef_18_Seed_06.outb,14976.2384861029,SimulationResults_FeedbackOnly\URef_18_Seed_06.outb,325583.075337504
SimulationResults_FeedbackOnly\URef_20_Seed_01.outb,19.9999139165949,SimulationResults_FeedbackOnly\URef_20_Seed_01.outb,14977.9321287241,SimulationResults_FeedbackOnly\URef_20_Seed_01.outb,326038.827958094
SimulationResults_FeedbackOnly\URef_20_Seed_02.outb,19.9999483884067,SimulationResults_FeedbackOnly\URef_20_Seed_02.outb,14973.1657882429,SimulationResults_FeedbackOnly\URef_20_Seed_02.outb,336813.962271106
SimulationResults_FeedbackOnly\URef_20_Seed_03.outb,19.9999407958808,SimulationResults_FeedbackOnly\URef_20_Seed_03.outb,14964.2338055026,SimulationResults_FeedbackOnly\URef_20_Seed_03.outb,356500.735066423
SimulationResults_FeedbackOnly\URef_20_Seed_04.outb,19.9999863942247,SimulationResults_FeedbackOnly\URef_20_Seed_04.outb,14974.1839232708,SimulationResults_FeedbackOnly\URef_20_Seed_04.outb,361059.741600102
SimulationResults_FeedbackOnly\URef_20_Seed_05.outb,19.9999903483368,SimulationResults_FeedbackOnly\URef_20_Seed_05.outb,14970.4802524727,SimulationResults_FeedbackOnly\URef_20_Seed_05.outb,308809.000277146
SimulationResults_FeedbackOnly\URef_20_Seed_06.outb,20.0000997010234,SimulationResults_FeedbackOnly\URef_20_Seed_06.outb,14966.7725706118,SimulationResults_FeedbackOnly\URef_20_Seed_06.outb,376783.995029578
SimulationResults_FeedbackOnly\URef_22_Seed_01.outb,21.9999965207948,SimulationResults_FeedbackOnly\URef_22_Seed_01.outb,14958.820821984,SimulationResults_FeedbackOnly\URef_22_Seed_01.outb,380215.117488564
SimulationResults_FeedbackOnly\URef_22_Seed_02.outb,21.9999216317242,SimulationResults_FeedbackOnly\URef_22_Seed_02.outb,14951.0779537973,SimulationResults_FeedbackOnly\URef_22_Seed_02.outb,401606.776519233
SimulationResults_FeedbackOnly\URef_22_Seed_03.outb,22.0000150925253,SimulationResults_FeedbackOnly\URef_22_Seed_03.outb,14953.88187739,SimulationResults_FeedbackOnly\URef_22_Seed_03.outb,360387.700798348
SimulationResults_FeedbackOnly\URef_22_Seed_04.outb,22.0000259167835,SimulationResults_FeedbackOnly\URef_22_Seed_04.outb,14961.8855727864,SimulationResults_FeedbackOnly\URef_22_Seed_04.outb,368866.605542453
SimulationResults_FeedbackOnly\URef_22_Seed_05.outb,22.0000014213325,SimulationResults_FeedbackOnly\URef_22_Seed_05.outb,14956.6957575755,SimulationResults_FeedbackOnly\URef_22_Seed_05.outb,384398.15676484
SimulationResults_FeedbackOnly\URef_22_Seed_06.outb,22.0000927352884,SimulationResults_FeedbackOnly\URef_22_Seed_06.outb,14963.4514962317,SimulationResults_FeedbackOnly\URef_22_Seed_06.outb,356295.032093085
SimulationResults_FeedbackOnly\URef_24_Seed_01.outb,24.0000450970558,SimulationResults_FeedbackOnly\URef_24_Seed_01.outb,14945.1808439096,SimulationResults_FeedbackOnly\URef_24_Seed_01.outb,396832.84587559
SimulationResults_FeedbackOnly\URef_24_Seed_02.outb,24.0000309150563,SimulationResults_FeedbackOnly\URef_24_Seed_02.outb,14964.7632292732,SimulationResults_FeedbackOnly\URef_24_Seed_02.outb,389768.126295641
SimulationResults_FeedbackOnly\URef_24_Seed_03.outb,24.0001968344599,SimulationResults_FeedbackOnly\URef_24_Seed_03.outb,14962.3644392127,SimulationResults_FeedbackOnly\URef_24_Seed_03.outb,372911.380403022
SimulationResults_FeedbackOnly\URef_24_Seed_04.outb,24.000057388108,SimulationResults_FeedbackOnly\URef_24_Seed_04.outb,14957.8788041584,SimulationResults_FeedbackOnly\URef_24_Seed_04.outb,396034.209638328
SimulationResults_FeedbackOnly\URef_24_Seed_05.outb,23.999991680236,SimulationResults_FeedbackOnly\URef_24_Seed_05.outb,14972.3175888929,SimulationResults_FeedbackOnly\URef_24_Seed_05.outb,402837.112351869
SimulationResults_FeedbackOnly\URef_24_Seed_06.outb,23.9999530501935,SimulationResults_FeedbackOnly\URef_24_Seed_06.outb,14966.0267362217,SimulationResults_FeedbackOnly\URef_24_Seed_06.outb,420464.021495546
