Statistics1_Row,mean_Wind1VelX,Statistics2_Row,mean_BldPitch1,Statistics3_Row,mean_RotSpeed
SimulationResults_SteadyStates\HWindSpeed_12d0.outb,11.9999993256402,SimulationResults_SteadyStates\HWindSpeed_12d0.outb,6.21434952674532,SimulationResults_SteadyStates\HWindSpeed_12d0.outb,7.56168677284713
SimulationResults_SteadyStates\HWindSpeed_13d0.outb,12.99999949423,SimulationResults_SteadyStates\HWindSpeed_13d0.outb,8.31470424318993,SimulationResults_SteadyStates\HWindSpeed_13d0.outb,7.56376526947603
SimulationResults_SteadyStates\HWindSpeed_14d0.outb,13.9999996628198,SimulationResults_SteadyStates\HWindSpeed_14d0.outb,10.020718834963,SimulationResults_SteadyStates\HWindSpeed_14d0.outb,7.56199147647908
SimulationResults_SteadyStates\HWindSpeed_15d0.outb,14.9999998314101,SimulationResults_SteadyStates\HWindSpeed_15d0.outb,11.5232237005005,SimulationResults_SteadyStates\HWindSpeed_15d0.outb,7.56102227855689
SimulationResults_SteadyStates\HWindSpeed_16d0.outb,16,SimulationResults_SteadyStates\HWindSpeed_16d0.outb,12.89391629616,SimulationResults_SteadyStates\HWindSpeed_16d0.outb,7.56058539482094
SimulationResults_SteadyStates\HWindSpeed_17d0.outb,17.00000016859,SimulationResults_SteadyStates\HWindSpeed_17d0.outb,14.1687060697257,SimulationResults_SteadyStates\HWindSpeed_17d0.outb,7.56039589038892
SimulationResults_SteadyStates\HWindSpeed_18d0.outb,18.0000003371799,SimulationResults_SteadyStates\HWindSpeed_18d0.outb,15.3693966643909,SimulationResults_SteadyStates\HWindSpeed_18d0.outb,7.56032047142083
SimulationResults_SteadyStates\HWindSpeed_19d0.outb,19.00000050577,SimulationResults_SteadyStates\HWindSpeed_19d0.outb,16.5107005682907,SimulationResults_SteadyStates\HWindSpeed_19d0.outb,7.56029908385109
SimulationResults_SteadyStates\HWindSpeed_20d0.outb,20.0000006743602,SimulationResults_SteadyStates\HWindSpeed_20d0.outb,17.6020378451162,SimulationResults_SteadyStates\HWindSpeed_20d0.outb,7.56030086802884
SimulationResults_SteadyStates\HWindSpeed_21d0.outb,20.99999949423,SimulationResults_SteadyStates\HWindSpeed_21d0.outb,18.651212922808,SimulationResults_SteadyStates\HWindSpeed_21d0.outb,7.56031306041632
SimulationResults_SteadyStates\HWindSpeed_22d0.outb,21.9999996628203,SimulationResults_SteadyStates\HWindSpeed_22d0.outb,19.6634607137312,SimulationResults_SteadyStates\HWindSpeed_22d0.outb,7.56032159012818
SimulationResults_SteadyStates\HWindSpeed_23d0.outb,23.0000011801302,SimulationResults_SteadyStates\HWindSpeed_23d0.outb,20.643043719109,SimulationResults_SteadyStates\HWindSpeed_23d0.outb,7.56032840688695
SimulationResults_SteadyStates\HWindSpeed_24d0.outb,23.9999986512804,SimulationResults_SteadyStates\HWindSpeed_24d0.outb,21.5931117467481,SimulationResults_SteadyStates\HWindSpeed_24d0.outb,7.56033610080206
SimulationResults_SteadyStates\HWindSpeed_25d0.outb,24.9999988198697,SimulationResults_SteadyStates\HWindSpeed_25d0.outb,22.5164433021885,SimulationResults_SteadyStates\HWindSpeed_25d0.outb,7.5603517974479
SimulationResults_SteadyStates\HWindSpeed_26d0.outb,25.99999898846,SimulationResults_SteadyStates\HWindSpeed_26d0.outb,23.4154926956902,SimulationResults_SteadyStates\HWindSpeed_26d0.outb,7.56037070364961
SimulationResults_SteadyStates\HWindSpeed_27d0.outb,26.9999991570505,SimulationResults_SteadyStates\HWindSpeed_27d0.outb,24.292600567526,SimulationResults_SteadyStates\HWindSpeed_27d0.outb,7.56036715865673
SimulationResults_SteadyStates\HWindSpeed_28d0.outb,27.9999993256396,SimulationResults_SteadyStates\HWindSpeed_28d0.outb,25.1488794664633,SimulationResults_SteadyStates\HWindSpeed_28d0.outb,7.56030177331593
SimulationResults_SteadyStates\HWindSpeed_29d0.outb,28.9999994942302,SimulationResults_SteadyStates\HWindSpeed_29d0.outb,25.9861567964692,SimulationResults_SteadyStates\HWindSpeed_29d0.outb,7.56013762819947
SimulationResults_SteadyStates\HWindSpeed_30d0.outb,29.9999996628202,SimulationResults_SteadyStates\HWindSpeed_30d0.outb,26.8085683724487,SimulationResults_SteadyStates\HWindSpeed_30d0.outb,7.55984778539941
