,mean_Wind1VelX,mean_GenPwr,DEL_4_TwrBsMyt,DEL_4_RotTorq,DEL_10_RootMyb1,Overshoot_GenSpeed,Travel_BldPitch1,max_GenTq
SimulationResults_LAC_4BeamPulsed\URef_04_Seed_01.outb,3.9999545736898074,680.741323769719,385472.05589572515,2308.174135879546,17332.77717622389,0.0,1.8918402194976673,2561.572265625
SimulationResults_LAC_4BeamPulsed\URef_04_Seed_02.outb,3.9999961539693496,701.9279277366647,392156.5752656401,2500.3054254375947,17225.06835018566,0.0,2.2480540275607437,2989.96240234375
SimulationResults_LAC_4BeamPulsed\URef_04_Seed_03.outb,4.00003044805448,708.7610243334404,415252.8336770736,3137.3609658449254,18421.094649898117,0.0,2.645908713342855,3601.874755859375
SimulationResults_LAC_4BeamPulsed\URef_04_Seed_04.outb,3.9999988462420264,719.7535545053473,300836.56406256964,2851.8215689303765,17085.66019155488,0.0,2.3148248195648073,3359.87255859375
SimulationResults_LAC_4BeamPulsed\URef_04_Seed_05.outb,4.000018244106823,696.890883202836,376563.7583084089,2661.752173216562,18276.938444954543,0.0,1.788566350936902,3032.0927734375
SimulationResults_LAC_4BeamPulsed\URef_04_Seed_06.outb,4.000065552380357,683.0215645975248,396163.2605824099,2372.398331647744,16464.090698237236,0.0,1.940687298779151,2675.32666015625
SimulationResults_LAC_4BeamPulsed\URef_06_Seed_01.outb,5.999999669017336,2865.305568117233,395299.8220641063,6116.124105051988,29661.17548323074,0.0,14.823003328973796,9643.4560546875
SimulationResults_LAC_4BeamPulsed\URef_06_Seed_02.outb,6.000048456699937,2878.8208067523983,383832.160208768,6878.506991836397,30326.05450771429,0.0,14.812071055042878,10976.26953125
SimulationResults_LAC_4BeamPulsed\URef_06_Seed_03.outb,5.999994153089939,2879.9954007229544,355711.82031041215,7049.9713281486975,27536.35096517874,0.0,15.60920694792368,9523.154296875
SimulationResults_LAC_4BeamPulsed\URef_06_Seed_04.outb,6.000007193276431,2841.2937768666075,381793.6325449072,4736.371036252613,23634.62154456295,0.0,12.620992526410891,9351.21484375
SimulationResults_LAC_4BeamPulsed\URef_06_Seed_05.outb,5.999982265052129,2896.957949218699,431184.5215509846,6414.742475918109,25705.599587615063,0.0,13.858402772154498,9661.701171875
SimulationResults_LAC_4BeamPulsed\URef_06_Seed_06.outb,6.000041347869111,2896.164784485081,315056.6442488194,6778.396676291157,27538.235641927655,0.0,16.120231160675793,9901.953125
SimulationResults_LAC_4BeamPulsed\URef_08_Seed_01.outb,8.00000090344355,6925.643762579084,296268.2734065629,11599.715167493378,48577.46421325674,0.048466914461470646,11.398074906634982,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_08_Seed_02.outb,8.000013014095103,6749.9514228259895,363438.261173608,7685.021092577942,42845.79137846269,0.0,2.21995388012604,15040.1376953125
SimulationResults_LAC_4BeamPulsed\URef_08_Seed_03.outb,8.00000753459532,6748.117397736302,317773.3119119383,7764.236096990576,39484.36664442769,0.0,2.731579960189264,14760.6494140625
SimulationResults_LAC_4BeamPulsed\URef_08_Seed_04.outb,7.999978978535386,6748.259066303835,382743.6679413402,6525.73577851367,35351.42105865793,0.0,1.7581153914416037,14462.06640625
SimulationResults_LAC_4BeamPulsed\URef_08_Seed_05.outb,7.9999650066831345,6802.441448515965,315154.1321083362,10177.443559718773,44178.86384137499,0.0,2.714432790780838,18577.46484375
SimulationResults_LAC_4BeamPulsed\URef_08_Seed_06.outb,7.9999796202256235,6754.00781606031,336297.0408653036,8669.975266733114,43368.45744438493,0.0,2.6823494111970385,17135.353515625
SimulationResults_LAC_4BeamPulsed\URef_10_Seed_01.outb,10.000005933737318,12324.504158538648,342229.7631284264,8978.983696186779,62284.50531934895,0.10618966456692128,96.50117251249327,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_10_Seed_02.outb,10.000066006517155,12490.920735293927,335317.92701452045,7412.621238560778,57741.57730297761,0.11287712788235657,57.76544981669946,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_10_Seed_03.outb,9.999989260966792,12580.682100515322,367116.90328125353,7979.413951705167,54003.341661978884,0.07455436661651493,68.62015087495737,19786.767578125
SimulationResults_LAC_4BeamPulsed\URef_10_Seed_04.outb,10.000061961452737,12030.644105528481,354358.13254793815,7162.162270652941,60305.27928915453,0.14641410107242459,85.16622610635396,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_10_Seed_05.outb,9.99999949138926,12169.948891852513,363147.5916533535,8248.274872211476,58505.65981460092,0.14663952685373655,72.0078544839926,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_10_Seed_06.outb,9.999979327553046,12062.79913798386,314608.57491648063,8137.073522297466,53439.6016272288,0.0892019964973325,76.99549500548525,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_12_Seed_01.outb,12.00001919227591,14824.839588201125,389347.07313435565,2486.2137715421527,70538.66420618861,0.12382598365358072,221.46291171934,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_12_Seed_02.outb,12.000068688332538,14864.545871033286,347441.3115321025,2096.2644479042287,67010.35472786082,0.10099742888768551,187.64851495357675,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_12_Seed_03.outb,12.000034089242515,14887.793022561542,408096.37778003846,1997.8337398966037,69663.96714832119,0.13873738818953144,188.89779397687363,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_12_Seed_04.outb,11.999935050559133,14823.038547211256,375841.92486956425,2682.1978367781744,63421.8918574599,0.11949066869759692,212.3743620089042,19786.767578125
